"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0060099A";"Autre établissement d'enseignement supérieur";"MCF";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";16
"0060099A";"Autre établissement d'enseignement supérieur";"MCF";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";2
"0060099A";"Autre établissement d'enseignement supérieur";"PR";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";14
"0060099A";"Autre établissement d'enseignement supérieur";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";1
"0062205P";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";26
"0062205P";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";12
"0062205P";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";3
"0062205P";"Université";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";4
"0062205P";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";20
"0062205P";"Université";"MCF";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";33
"0062205P";"Université";"MCF";7;"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";9
"0062205P";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";3
"0062205P";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";7
"0062205P";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";2
"0062205P";"Université";"MCF";11;"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";13
"0062205P";"Université";"MCF";12;"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";4
"0062205P";"Université";"MCF";14;"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";18
"0062205P";"Université";"MCF";15;"15-Langues, littératures et cultures africaines, asiatiques et d'autres aires";"Langues et littératures";"Lettres et sciences humaines";1
"0062205P";"Université";"MCF";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";20
"0062205P";"Université";"MCF";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";5
"0062205P";"Université";"MCF";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";8
"0062205P";"Université";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";8
"0062205P";"Université";"MCF";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";7
"0062205P";"Université";"MCF";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";7
