"Rentrée";"Code.section";"Section";"Groupe";"Discipline";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";"1";"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";56;26;1212;605;0,030820033021464;0,0214521452145215
"2018";"2";"2-Droit public";"Droit et science politique";"Droit, économie et gestion";23;19;794;498;0,0178018575851393;0,0239294710327456
"2018";"3";"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";4;2;150;109;0,0154440154440154;0,0133333333333333
"2018";"4";"4-Science politique";"Droit et science politique";"Droit, économie et gestion";20;4;265;127;0,0510204081632653;0,0150943396226415
"2018";"5";"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";37;24;1168;548;0,0215617715617716;0,0205479452054795
"2018";"6";"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";85;36;1620;494;0,0402081362346263;0,0222222222222222
"2018";"7";"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";26;13;530;234;0,0340314136125654;0,0245283018867925
"2018";"8";"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";5;7;185;99;0,0176056338028169;0,0378378378378378
"2018";"9";"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";26;23;594;302;0,0290178571428571;0,0387205387205387
"2018";"10";"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";6;1;127;84;0,028436018957346;0,0078740157480315
"2018";"11";"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";49;23;1248;382;0,0300613496932515;0,0184294871794872
"2018";"12";"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";11;4;286;92;0,0291005291005291;0,013986013986014
"2018";"13";"13-Etudes slaves et baltes";"Langues et littératures";"Lettres et sciences humaines";6;3;93;33;0,0476190476190476;0,032258064516129
"2018";"14";"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";27;12;727;232;0,0281543274244004;0,0165061898211829
"2018";"15";"15-Langues, littératures et cultures africaines, asiatiques et d'autres aires";"Langues et littératures";"Lettres et sciences humaines";21;3;305;110;0,0506024096385542;0,00983606557377049
"2018";"16";"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";44;18;964;407;0,0320933625091174;0,0186721991701245
"2018";"17";"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";15;10;234;158;0,038265306122449;0,0427350427350427
"2018";"18";"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";27;10;527;201;0,0370879120879121;0,0189753320683112
"2018";"19";"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";22;17;633;249;0,0249433106575964;0,0268562401263823
"2018";"20";"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";5;2;136;69;0,024390243902439;0,0147058823529412
"2018";"21";"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";12;23;479;255;0,0163487738419619;0,0480167014613779
"2018";"22";"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";25;23;669;386;0,023696682464455;0,0343796711509716
"2018";"23";"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";23;7;595;260;0,0269005847953216;0,0117647058823529
"2018";"24";"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";6;2;163;98;0,0229885057471264;0,0122699386503067
"2018";"25";"25-Mathématiques";"Mathématiques et informatique";"Sciences";21;14;796;488;0,0163551401869159;0,0175879396984925
"2018";"26";"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";27;25;1144;631;0,0152112676056338;0,0218531468531469
