"Rentrée";"Type";"UAI";"Etablissement";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";"Autre établissement d'enseignement supérieur";"0922605G";"INS FREJHEA";3;0;13;4;0,176470588235294;0
"2018";"École d'ingénieurs";"0590338X";"ENSAIT DE ROUBAIX";2;0;17;11;0,0714285714285714;0
"2018";"École d'ingénieurs";"0632033T";"ECOLE D'INGENIEURS SIGMA CLERMONT";3;2;37;20;0,0526315789473684;0,0540540540540541
"2018";"École habilitée à délivrer un diplôme d'ingénieur";"0951376E";"ENSEA DE CERGY";1;0;25;7;0,03125;0
"2018";"École nationale supérieure d'ingénieurs";"0290119X";"ENI DE BREST";1;1;25;9;0,0294117647058824;0,04
"2018";"École nationale supérieure d'ingénieurs";"0912266U";"ENS IIE";0;1;12;7;0;0,0833333333333333
"2018";"École normale supérieure";"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";5;3;103;69;0,0290697674418605;0,029126213592233
"2018";"École normale supérieure";"0753455Y";"ECOLE NORMALE SUPERIEURE DE PARIS";6;3;61;38;0,0606060606060606;0,0491803278688525
"2018";"Grand établissement";"0333232J";"INSTITUT POLYTECHNIQUE DE BORDEAUX";4;2;108;71;0,0223463687150838;0,0185185185185185
"2018";"Grand établissement";"0381912X";"INP DE GRENOBLE";8;1;179;125;0,0263157894736842;0,00558659217877095
"2018";"Grand établissement";"0692459Y";"E.N.S.S.I.B DE LYON";1;1;5;3;0,125;0,2
"2018";"Grand établissement";"0750736T";"UNIVERSITE PARIS-DAUPHINE";7;4;173;104;0,0252707581227437;0,023121387283237
"2018";"Grand établissement";"0753237L";"ENSAM";9;2;157;66;0,0403587443946188;0,0127388535031847
"2018";"Grand établissement";"0753431X";"I.E.P DE PARIS";0;1;3;52;0;0,333333333333333
"2018";"Grand établissement";"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";12;4;236;116;0,0340909090909091;0,0169491525423729
"2018";"Grand établissement";"0753488J";"INALCO PARIS";6;7;144;74;0,0275229357798165;0,0486111111111111
"2018";"Institut d'étude politique";"0130221V";"I.E.P D'AIX-EN-PROVENCE";1;0;18;13;0,032258064516129;0
"2018";"Institut d'étude politique";"0330192E";"I.E.P DE BORDEAUX";2;0;14;16;0,0666666666666667;0
"2018";"Institut d'étude politique";"0352317D";"I.E.P DE RENNES";1;0;15;7;0,0454545454545455;0
"2018";"Institut d'étude politique";"0380134P";"IEP DE GRENOBLE";0;1;27;15;0;0,037037037037037
"2018";"Institut d'étude politique";"0595876S";"I.E.P DE LILLE";2;0;23;6;0,0689655172413793;0
"2018";"Institut d'étude politique";"0690173N";"I.E.P DE LYON ";1;0;27;16;0,0232558139534884;0
"2018";"Institut national polytechnique";"0311381H";"INP DE TOULOUSE";8;2;150;104;0,031496062992126;0,0133333333333333
"2018";"Institut ou école extérieur aux universités";"0101060Y";"UNIVERSITE DE TECHNOLOGIE DE TROYES";1;5;54;36;0,0111111111111111;0,0925925925925926
